ID,Month,Carcass,Control
10-016,10-Mar,27.6,27.6
10-016,10-Apr,30,30
10-016,10-Jun,30,24.3
10-016,10-Jul,31,31
10-016,10-Aug,27.9,31
10-016,10-Sep,30,30
10-016,10-Oct,31,31
10-016,10-Nov,30,30
10-016,10-Dec,29.8,31
10-016,11-Jan,31,31
10-016,11-Feb,28,28
10-016,11-Mar,31,31
10-016,11-Apr,30,23.9
10-016,11-May,31,31
10-016,11-Jul,31,31
10-016,11-Aug,31,31
10-016,11-Sep,30,30
10-016,11-Oct,31,31
10-016,11-Nov,30,30
10-016,11-Dec,31,31
10-016,12-Jan,31,31
10-016,12-Feb,29,29
10-022,10-Mar,27.6,20
10-022,10-May,31,31
10-022,10-Jun,30,30
10-022,10-Jul,31,31
10-022,10-Aug,31,31
10-022,10-Sep,30,26
10-022,10-Oct,21.4,31
10-022,10-Nov,30,30
10-022,10-Dec,31,21.4
10-022,11-Jan,31,31
10-022,11-Feb,28,28
10-022,11-Mar,31,31
10-022,11-Apr,30,30
10-022,11-Jun,30,20.5
10-022,11-Jul,31,31
10-022,11-Aug,31,31
10-022,11-Sep,30,30
10-022,11-Oct,31,31
10-022,11-Nov,30,30
10-022,11-Dec,31,31
10-022,12-Jan,31,31
10-022,12-Feb,29,29
10-049,10-Apr,29.3,30
10-049,10-May,28.8,31
10-049,10-Aug,31,31
10-049,10-Sep,30,30
10-049,10-Oct,31,31
10-049,10-Nov,30,30
10-049,10-Dec,30.5,31
10-049,11-Jan,31,31
10-049,11-Feb,28,28
10-049,11-Mar,27.4,31
10-049,11-Jun,30,30
10-049,11-Jul,31,31
10-049,11-Aug,31,31
10-049,11-Sep,30,30
10-049,11-Oct,31,31
10-049,11-Nov,30,30
10-049,11-Dec,31,31
10-049,12-Jan,29.6,31
10-049,12-Feb,29,29
10-062,10-Apr,30,30
10-062,10-May,31,31
10-062,10-Jul,31,28.5
10-062,10-Aug,31,31
10-062,10-Sep,30,30
10-062,10-Oct,31,31
10-062,10-Nov,30,30
10-062,11-Feb,28,28
10-062,11-May,31,31
10-062,11-Jul,30.3,31
10-062,11-Aug,31,31
10-062,11-Dec,31,31
10-062,12-Jan,31,31
10-062,12-Feb,29,29
10-115,10-Jun,30,30
10-115,10-Jul,31,31
10-115,10-Aug,31,22.6
10-115,10-Sep,30,30
10-115,10-Oct,31,31
10-115,10-Nov,30,30
10-115,10-Dec,31,31
10-115,11-Jan,31,31
10-115,11-Feb,28,28
10-115,11-Mar,31,31
10-115,11-Apr,30,30
10-115,11-Jun,20.5,30
10-115,11-Jul,31,31
10-115,11-Aug,31,31
10-115,11-Sep,30,30
10-115,11-Oct,31,31
10-115,11-Nov,30,30
10-115,11-Dec,31,31
10-115,12-Jan,31,31
10-115,12-Feb,29,29
10-115,12-Apr,22.7,22.7
10-184,10-Dec,31,31
10-184,11-Jan,31,31
10-184,11-Feb,28,28
10-184,11-Mar,31,30.7
10-184,11-May,31,20.5
10-184,11-Jun,30,30
10-184,11-Jul,31,31
10-184,11-Aug,31,31
10-184,11-Sep,30,30
10-184,11-Oct,25.2,24.5
10-184,11-Dec,31,31
10-184,12-Jan,31,31
10-184,12-Feb,29,29
10-184,12-Mar,31,31
10-184,12-Apr,26.4,26.4
10-195,11-Feb,28,28
10-195,11-Mar,31,31
10-195,11-Jul,31,30.3
10-195,11-Aug,21.4,29.7
10-195,11-Sep,25.5,30
10-195,11-Oct,22.8,22.8
10-195,11-Nov,30,30
10-195,11-Dec,31,31
10-195,12-Jan,31,31
10-195,12-Feb,29,29
10-195,12-Mar,31,31
10-195,12-Apr,30,30
10-195,12-May,31,20.5
10-195,12-Jun,30,30
10-195,12-Jul,31,31
10-195,12-Aug,29.8,30.9
10-195,12-Sep,30,30
10-195,12-Oct,31,31
10-195,12-Nov,30,30
10-195,12-Dec,31,31
10-195,13-Jan,31,31
10-237,10-Nov,25.5,25.5
10-237,11-Feb,28,27.3
10-237,11-Mar,31,31
10-237,11-Apr,30,25.4
10-237,11-May,31,20.5
10-237,11-Jul,31,20.6
10-237,11-Aug,31,31
10-237,11-Sep,30,30
10-237,11-Nov,30,24.4
10-237,11-Dec,31,31
10-237,12-Jan,31,31
10-237,12-Feb,29,21.5
11-011,11-Nov,30,30
11-011,11-Dec,31,31
11-011,12-Jan,31,31
11-011,12-Feb,29,29
11-011,12-Mar,23.3,31
11-011,12-Apr,29.5,30
11-011,12-May,31,31
11-011,12-Jun,30,30
11-011,12-Jul,31,31
11-011,12-Aug,31,31
11-011,12-Sep,30,30
11-011,12-Oct,31,31
11-011,12-Nov,30,30
11-011,12-Dec,31,31
11-011,13-Jan,31,31
11-011,13-Feb,28,28
11-011,13-Mar,25.7,25.7
11-039,11-Nov,30,26.4
11-039,11-Dec,31,23.6
11-039,12-Feb,29,26.1
11-039,12-Mar,31,31
11-039,12-Apr,30,30
11-039,12-May,31,31
11-039,12-Jun,30,30
11-039,12-Jul,31,31
11-039,12-Aug,31,31
11-039,12-Sep,30,30
11-039,12-Oct,31,25.3
11-039,12-Nov,30,20.8
11-039,12-Dec,31,19.6
11-039,13-Jan,28.5,31
11-052,11-Nov,30,30
11-052,11-Dec,31,31
11-052,12-Jan,31,31
11-052,12-Feb,29,29
11-052,12-Mar,31,31
11-052,12-Apr,30,30
11-052,12-May,31,31
11-052,12-Jun,30,30
11-052,12-Jul,31,31
11-052,12-Aug,31,31
11-052,12-Sep,30,30
11-052,12-Dec,31,31
11-052,13-Jan,31,31
11-052,13-Feb,28,28
11-052,13-Mar,27.5,27.5
12-010,12-May,31,31
12-010,12-Jun,30,30
12-010,12-Jul,31,31
12-010,12-Aug,31,31
12-010,12-Sep,30,24.6
12-010,12-Nov,30,30
12-010,12-Dec,31,31
12-010,13-Jan,31,31
12-010,13-Feb,28,28
12-010,13-Mar,27.4,27.4
12-034,12-May,31,31
12-034,12-Jun,30,30
12-034,12-Sep,30,30
12-034,12-Nov,30,30
12-034,13-Mar,27.7,27.7
12-039,12-Apr,29.5,29.5
12-039,12-May,31,31
12-039,12-Jun,30,30
12-039,12-Jul,31,31
12-039,12-Aug,31,31
12-039,12-Sep,30,30
12-039,12-Oct,31,31
