"","Step","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","LD","sim","Weather","CarcTot"
"1",0,1,24,11,64,39,18,0,29,6,31,12,"1e+05","1",NA,235
"2",1,238,1,24,11,64,39,18,0,29,6,31,"1e+05","1","Normal",461
"3",2,2020,238,1,24,11,64,39,18,0,29,6,"1e+05","1","Normal",2450
"4",3,16985,2020,238,1,24,11,64,39,18,0,29,"1e+05","1","Normal",19429
"5",4,128448,16985,2020,238,1,24,11,64,39,18,0,"1e+05","1","Normal",147848
"6",5,176124,128448,16985,2020,238,1,24,11,64,39,18,"1e+05","1","Normal",323972
"7",6,198791,176124,128448,16985,2020,238,1,24,11,64,39,"1e+05","1","Normal",522745
"8",7,215761,198791,176124,128448,16985,2020,238,1,24,11,64,"1e+05","1","Normal",738467
"9",8,227536,215761,198791,176124,128448,16985,2020,238,1,24,11,"1e+05","1","Normal",965939
"10",9,232597,227536,215761,198791,176124,128448,16985,2020,238,1,24,"1e+05","1","Normal",1198525
"11",10,233811,232597,227536,215761,198791,176124,128448,16985,2020,238,1,"1e+05","1","Normal",1432312
"12",11,237065,233811,232597,227536,215761,198791,176124,128448,16985,2020,238,"1e+05","1","Normal",1669376
"13",12,236240,237065,233811,232597,227536,215761,198791,176124,128448,16985,2020,"1e+05","1","Normal",1905378
"14",13,237379,236240,237065,233811,232597,227536,215761,198791,176124,128448,16985,"1e+05","1","Normal",2140737
"15",14,237425,237379,236240,237065,233811,232597,227536,215761,198791,176124,128448,"1e+05","1","Normal",2361177
"16",15,237523,237425,237379,236240,237065,233811,232597,227536,215761,198791,176124,"1e+05","1","Normal",2470252
"17",16,238224,237523,237425,237379,236240,237065,233811,232597,227536,215761,198791,"1e+05","1","Normal",2532352
"18",17,237497,238224,237523,237425,237379,236240,237065,233811,232597,227536,215761,"1e+05","1","Normal",2571058
"19",18,238564,237497,238224,237523,237425,237379,236240,237065,233811,232597,227536,"1e+05","1","Normal",2593861
"20",19,236080,238564,237497,238224,237523,237425,237379,236240,237065,233811,232597,"1e+05","1","Normal",2602405
"21",20,238695,236080,238564,237497,238224,237523,237425,237379,236240,237065,233811,"1e+05","1","Normal",2608503
"22",21,238782,238695,236080,238564,237497,238224,237523,237425,237379,236240,237065,"1e+05","1","Normal",2613474
"23",22,238248,238782,238695,236080,238564,237497,238224,237523,237425,237379,236240,"1e+05","1","Normal",2614657
"24",23,237743,238248,238782,238695,236080,238564,237497,238224,237523,237425,237379,"1e+05","1","Normal",2616160
"25",24,238619,237743,238248,238782,238695,236080,238564,237497,238224,237523,237425,"1e+05","1","Normal",2617400
"26",25,237899,238619,237743,238248,238782,238695,236080,238564,237497,238224,237523,"1e+05","1","Normal",2617874
"27",26,238238,237899,238619,237743,238248,238782,238695,236080,238564,237497,238224,"1e+05","1","Normal",2618589
"28",27,237366,238238,237899,238619,237743,238248,238782,238695,236080,238564,237497,"1e+05","1","Normal",2617731
"29",28,236802,237366,238238,237899,238619,237743,238248,238782,238695,236080,238564,"1e+05","1","Normal",2617036
"30",29,238094,236802,237366,238238,237899,238619,237743,238248,238782,238695,236080,"1e+05","1","Normal",2616566
"31",30,237775,238094,236802,237366,238238,237899,238619,237743,238248,238782,238695,"1e+05","1","Normal",2618261
"32",31,239084,237775,238094,236802,237366,238238,237899,238619,237743,238248,238782,"1e+05","1","Normal",2618650
"33",32,240050,239084,237775,238094,236802,237366,238238,237899,238619,237743,238248,"1e+05","1","Normal",2619918
"34",33,237922,240050,239084,237775,238094,236802,237366,238238,237899,238619,237743,"1e+05","1","Normal",2619592
"35",34,236410,237922,240050,239084,237775,238094,236802,237366,238238,237899,238619,"1e+05","1","Normal",2618259
"36",35,237859,236410,237922,240050,239084,237775,238094,236802,237366,238238,237899,"1e+05","1","Normal",2617499
"37",36,237405,237859,236410,237922,240050,239084,237775,238094,236802,237366,238238,"1e+05","1","Normal",2617005
"38",37,237362,237405,237859,236410,237922,240050,239084,237775,238094,236802,237366,"1e+05","1","Normal",2616129
"39",38,237363,237362,237405,237859,236410,237922,240050,239084,237775,238094,236802,"1e+05","1","Normal",2616126
"40",39,237163,237363,237362,237405,237859,236410,237922,240050,239084,237775,238094,"1e+05","1","Normal",2616487
"41",40,238556,237163,237363,237362,237405,237859,236410,237922,240050,239084,237775,"1e+05","1","Normal",2616949
"42",41,237727,238556,237163,237363,237362,237405,237859,236410,237922,240050,239084,"1e+05","1","Normal",2616901
"43",42,238251,237727,238556,237163,237363,237362,237405,237859,236410,237922,240050,"1e+05","1","Normal",2616068
"44",43,236675,238251,237727,238556,237163,237363,237362,237405,237859,236410,237922,"1e+05","1","Normal",2612693
"45",44,239217,236675,238251,237727,238556,237163,237363,237362,237405,237859,236410,"1e+05","1","Normal",2613988
"46",45,236591,239217,236675,238251,237727,238556,237163,237363,237362,237405,237859,"1e+05","1","Normal",2614169
"47",46,235561,236591,239217,236675,238251,237727,238556,237163,237363,237362,237405,"1e+05","1","Normal",2611871
"48",47,237806,235561,236591,239217,236675,238251,237727,238556,237163,237363,237362,"1e+05","1","Normal",2612272
"49",48,238988,237806,235561,236591,239217,236675,238251,237727,238556,237163,237363,"1e+05","1","Normal",2613898
"50",49,237240,238988,237806,235561,236591,239217,236675,238251,237727,238556,237163,"1e+05","1","Normal",2613775
"51",50,236598,237240,238988,237806,235561,236591,239217,236675,238251,237727,238556,"1e+05","1","Normal",2613210
"52",51,238536,236598,237240,238988,237806,235561,236591,239217,236675,238251,237727,"1e+05","1","Normal",2613190
"53",52,236326,238536,236598,237240,238988,237806,235561,236591,239217,236675,238251,"1e+05","1","Normal",2611789
"54",53,238200,236326,238536,236598,237240,238988,237806,235561,236591,239217,236675,"1e+05","1","Normal",2611738
"55",54,236816,238200,236326,238536,236598,237240,238988,237806,235561,236591,239217,"1e+05","1","Normal",2611879
"56",55,238756,236816,238200,236326,238536,236598,237240,238988,237806,235561,236591,"1e+05","1","Normal",2611418
"57",56,237466,238756,236816,238200,236326,238536,236598,237240,238988,237806,235561,"1e+05","1","Normal",2612293
"58",57,238034,237466,238756,236816,238200,236326,238536,236598,237240,238988,237806,"1e+05","1","Normal",2614766
"59",58,238140,238034,237466,238756,236816,238200,236326,238536,236598,237240,238988,"1e+05","1","Normal",2615100
"60",59,238285,238140,238034,237466,238756,236816,238200,236326,238536,236598,237240,"1e+05","1","Normal",2614397
"61",60,238287,238285,238140,238034,237466,238756,236816,238200,236326,238536,236598,"1e+05","1","Normal",2615444
"62",61,236424,238287,238285,238140,238034,237466,238756,236816,238200,236326,238536,"1e+05","1","Normal",2615270
"63",62,236758,236424,238287,238285,238140,238034,237466,238756,236816,238200,236326,"1e+05","1","Normal",2613492
"64",63,237322,236758,236424,238287,238285,238140,238034,237466,238756,236816,238200,"1e+05","1","Normal",2614488
"65",64,238873,237322,236758,236424,238287,238285,238140,238034,237466,238756,236816,"1e+05","1","Normal",2615161
"66",65,237184,238873,237322,236758,236424,238287,238285,238140,238034,237466,238756,"1e+05","1","Normal",2615529
"67",66,239025,237184,238873,237322,236758,236424,238287,238285,238140,238034,237466,"1e+05","1","Normal",2615798
"68",67,236704,239025,237184,238873,237322,236758,236424,238287,238285,238140,238034,"1e+05","1","Normal",2615036
"69",68,236319,236704,239025,237184,238873,237322,236758,236424,238287,238285,238140,"1e+05","1","Normal",2613321
"70",69,238815,236319,236704,239025,237184,238873,237322,236758,236424,238287,238285,"1e+05","1","Normal",2613996
"71",70,238822,238815,236319,236704,239025,237184,238873,237322,236758,236424,238287,"1e+05","1","Normal",2614533
"72",71,237060,238822,238815,236319,236704,239025,237184,238873,237322,236758,236424,"1e+05","1","Normal",2613306
"73",72,236802,237060,238822,238815,236319,236704,239025,237184,238873,237322,236758,"1e+05","1","Normal",2613684
"74",73,237383,236802,237060,238822,238815,236319,236704,239025,237184,238873,237322,"1e+05","1","Normal",2614309
"75",74,236879,237383,236802,237060,238822,238815,236319,236704,239025,237184,238873,"1e+05","1","Normal",2613866
"76",75,238069,236879,237383,236802,237060,238822,238815,236319,236704,239025,237184,"1e+05","1","Normal",2613062
"77",76,238133,238069,236879,237383,236802,237060,238822,238815,236319,236704,239025,"1e+05","1","Normal",2614011
"78",77,237967,238133,238069,236879,237383,236802,237060,238822,238815,236319,236704,"1e+05","1","Normal",2612953
"79",78,237212,237967,238133,238069,236879,237383,236802,237060,238822,238815,236319,"1e+05","1","Normal",2613461
"80",79,237268,237212,237967,238133,238069,236879,237383,236802,237060,238822,238815,"1e+05","1","Normal",2614410
"81",80,237486,237268,237212,237967,238133,238069,236879,237383,236802,237060,238822,"1e+05","1","Normal",2613081
"82",81,238400,237486,237268,237212,237967,238133,238069,236879,237383,236802,237060,"1e+05","1","Normal",2612659
"83",82,238370,238400,237486,237268,237212,237967,238133,238069,236879,237383,236802,"1e+05","1","Normal",2613969
"84",83,239127,238370,238400,237486,237268,237212,237967,238133,238069,236879,237383,"1e+05","1","Normal",2616294
"85",84,238484,239127,238370,238400,237486,237268,237212,237967,238133,238069,236879,"1e+05","1","Normal",2617395
"86",85,235643,238484,239127,238370,238400,237486,237268,237212,237967,238133,238069,"1e+05","1","Normal",2616159
"87",86,237642,235643,238484,239127,238370,238400,237486,237268,237212,237967,238133,"1e+05","1","Normal",2615732
"88",87,237330,237642,235643,238484,239127,238370,238400,237486,237268,237212,237967,"1e+05","1","Normal",2614929
"89",88,237963,237330,237642,235643,238484,239127,238370,238400,237486,237268,237212,"1e+05","1","Normal",2614925
"90",89,237738,237963,237330,237642,235643,238484,239127,238370,238400,237486,237268,"1e+05","1","Normal",2615451
"91",90,235613,237738,237963,237330,237642,235643,238484,239127,238370,238400,237486,"1e+05","1","Normal",2613796
"92",91,238794,235613,237738,237963,237330,237642,235643,238484,239127,238370,238400,"1e+05","1","Normal",2615104
"93",92,236841,238794,235613,237738,237963,237330,237642,235643,238484,239127,238370,"1e+05","1","Normal",2613545
"94",93,234257,236841,238794,235613,237738,237963,237330,237642,235643,238484,239127,"1e+05","1","Normal",2609432
"95",94,236200,234257,236841,238794,235613,237738,237963,237330,237642,235643,238484,"1e+05","1","Normal",2606505
"96",95,236523,236200,234257,236841,238794,235613,237738,237963,237330,237642,235643,"1e+05","1","Normal",2604544
"97",96,237842,236523,236200,234257,236841,238794,235613,237738,237963,237330,237642,"1e+05","1","Normal",2606743
"98",97,238607,237842,236523,236200,234257,236841,238794,235613,237738,237963,237330,"1e+05","1","Normal",2607708
"99",98,237603,238607,237842,236523,236200,234257,236841,238794,235613,237738,237963,"1e+05","1","Normal",2607981
"100",99,238453,237603,238607,237842,236523,236200,234257,236841,238794,235613,237738,"1e+05","1","Normal",2608471
"101",100,238698,238453,237603,238607,237842,236523,236200,234257,236841,238794,235613,"1e+05","1","Normal",2609431
"102",0,1,24,11,64,39,18,0,29,6,31,12,"1e+05","2",NA,235
"103",1,181,1,24,11,64,39,18,0,29,6,31,"1e+05","2","Normal",404
"104",2,1624,181,1,24,11,64,39,18,0,29,6,"1e+05","2","Normal",1997
"105",3,14188,1624,181,1,24,11,64,39,18,0,29,"1e+05","2","Normal",16179
"106",4,119930,14188,1624,181,1,24,11,64,39,18,0,"1e+05","2","Normal",136080
"107",5,173081,119930,14188,1624,181,1,24,11,64,39,18,"1e+05","2","Normal",309161
"108",6,196395,173081,119930,14188,1624,181,1,24,11,64,39,"1e+05","2","Normal",505538
"109",7,215593,196395,173081,119930,14188,1624,181,1,24,11,64,"1e+05","2","Normal",721092
"110",8,226710,215593,196395,173081,119930,14188,1624,181,1,24,11,"1e+05","2","Normal",947738
"111",9,234026,226710,215593,196395,173081,119930,14188,1624,181,1,24,"1e+05","2","Normal",1181753
"112",10,232956,234026,226710,215593,196395,173081,119930,14188,1624,181,1,"1e+05","2","Normal",1414685
"113",11,235568,232956,234026,226710,215593,196395,173081,119930,14188,1624,181,"1e+05","2","Normal",1650252
"114",12,235709,235568,232956,234026,226710,215593,196395,173081,119930,14188,1624,"1e+05","2","Normal",1885780
"115",13,237881,235709,235568,232956,234026,226710,215593,196395,173081,119930,14188,"1e+05","2","Normal",2122037
"116",14,237827,237881,235709,235568,232956,234026,226710,215593,196395,173081,119930,"1e+05","2","Normal",2345676
"117",15,237117,237827,237881,235709,235568,232956,234026,226710,215593,196395,173081,"1e+05","2","Normal",2462863
"118",16,238220,237117,237827,237881,235709,235568,232956,234026,226710,215593,196395,"1e+05","2","Normal",2528002
