"ID","Lon","Lat","Index","NDVI_Wet","NDVI_CDry","NDVI_HDry"
"10-013",1671829.13429919,-2131702.55023608,3023,0.272602209944751,0.191588541666667,0.175377777777778
"10-017",1671334.23880001,-2127600.56476867,2383,0.266658563535912,0.180776041666667,0.164577777777778
"10-020",1669866.26765161,-2129717.7185583,2664,0.252066298342541,0.178729166666667,0.164981666666667
"10-023",1667152.14851365,-2130398.2322764,2800,0.299082872928177,0.195432291666667,0.180294444444444
"10-026",1667938.99165063,-2128305.5413982,2447,0.281453038674033,0.186838541666667,0.174433888888889
"10-027",1666383.60809206,-2128208.80170298,2443,0.288872928176796,0.184442708333333,0.172223333333333
"10-030",1672960.86066075,-2129785.54754001,2670,0.275237569060773,0.18321875,0.168797777777778
"10-033",1683583.97882343,-2135265.23970142,3545,0.28739226519337,0.1881875,0.17705
"10-035",1663868.22697681,-2123560.84853035,1728,0.268419889502762,0.173947916666667,0.157370555555556
"10-042",1665304.61199563,-2119236.47295898,1092,0.276353591160221,0.183166666666667,0.163622777777778
"10-051",1669599.08441756,-2120941.09310579,1314,0.274417127071823,0.184182291666667,0.160305555555556
"10-054",1668762.3337612,-2125694.68157779,2093,0.275522099447514,0.194036458333333,0.176176111111111
"10-059",1661806.1692711,-2113087.38658467,90,0.258911602209945,0.179963541666667,0.153166666666667
"10-063",1677383.26007504,-2138434.29868275,4029,0.301736464088398,0.20278125,0.186555555555556
"10-064",1672665.02381611,-2131957.18690511,3025,0.27217679558011,0.185119791666667,0.176126111111111
"10-069",1653126.34948303,-2116342.06575603,569,0.271883977900552,0.177473958333333,0.1577
"10-082",1664869.42256868,-2119144.18106584,1020,0.280635359116022,0.184859375,0.160026111111111
"10-083",1669934.93821433,-2128767.0008639,2522,0.265237569060774,0.182692708333333,0.167747222222222
"10-084",1669242.70632452,-2127703.976167,2378,0.270417127071823,0.188302083333333,0.171837222222222
"10-093",1672902.17498604,-2130118.02074542,2741,0.277154696132597,0.184630208333333,0.170402777777778
"10-099",1665894.78581086,-2116843.55544045,667,0.265364640883978,0.17640625,0.150188888888889
"10-119",1664247.60774539,-2118522.60072529,948,0.28566408839779,0.187151041666667,0.162244444444444
"10-179",1667659.28721728,-2131035.37992423,2872,0.308287845303867,0.21396875,0.196406111111111
"10-194",1685857.68952538,-2128755.8813587,2556,0.288447513812155,0.194161458333333,0.178622222222222
"10-219",1682381.98386833,-2136357.17511183,3756,0.28792817679558,0.194510416666667,0.175361111111111
"11-010",1653712.43151198,-2115619.29791818,499,0.267933701657459,0.178625,0.157033333333333
"11-007",1654242.22218654,-2119454.41526086,1068,0.261766850828729,0.1778484375,0.158407777777778
"11-042",1670187.70148107,-2128471.22202564,2522,0.265237569060774,0.182692708333333,0.167747222222222
"11-050",1671083.03921917,-2127625.0276801,2382,0.27432044198895,0.183947916666667,0.169688888888889
"12-004",1656958.91762042,-2112705.98755639,9,0.248585635359116,0.17234375,0.14843
"12-014",1670863.9748699,-2128069.80788801,2453,0.268832596685083,0.183755208333333,0.166215
"12-022",1667372.23477901,-2128762.55306182,2516,0.275590055248619,0.180708333333333,0.168044444444444
"12-024",1671801.48782407,-2131337.8304656,2952,0.266530386740331,0.183901041666667,0.169894444444444
"12-025",1670977.66617816,-2131030.93212215,2879,0.262237569060774,0.183671875,0.172185
"12-030",1671138.0554589,-2130020.16909968,2737,0.240453038674033,0.171344270833333,0.161752777777778
"12-031",1671728.60562937,-2127815.17121898,2384,0.246453038674033,0.178671875,0.163
"12-038",1666239.683134,-2126553.10737905,2159,0.270801104972376,0.182104166666667,0.167727777777778
"13-007",1662356.76327501,-2112084.40721584,20,0.252691712707182,0.178932291666667,0.152767777777778
"13-004",1653591.30717914,-2112895.01914475,73,0.27478453038674,0.183526041666667,0.157088888888889
"13-005",1654353.61256368,-2112847.2052724,74,0.271718232044199,0.182911458333333,0.156461111111111
